[    2333ms] [INFO] %cDownload the React DevTools for a better development experience: https://react.dev/link/react-devtools font-weight:bold @ webpack-internal:///(app-pages-browser)/../node_modules/next/dist/compiled/react-dom/cjs/react-dom-client.development.js:25630
[    3687ms] [LOG] [Fast Refresh] done in 1787397451602ms @ webpack-internal:///(app-pages-browser)/../node_modules/next/dist/client/dev/report-hmr-latency.js:13
[    5859ms] [ERROR] Failed to load resource: the server responded with a status of 404 (Not Found) @ http://localhost:3000/favicon.ico:0
[   11260ms] [WARNING] The resource http://localhost:3000/_next/static/css/app/layout.css?v=1787397453334 was preloaded using link preload but not used within a few seconds from the window's load event. Please make sure it has an appropriate `as` value and it is preloaded intentionally. @ http://localhost:3000/ashish-interiors:0
[   16266ms] [WARNING] The resource http://localhost:3000/_next/static/css/app/layout.css?v=1787397453334 was preloaded using link preload but not used within a few seconds from the window's load event. Please make sure it has an appropriate `as` value and it is preloaded intentionally. @ http://localhost:3000/ashish-interiors:0
[   20317ms] [LOG] [Fast Refresh] rebuilding @ webpack-internal:///(app-pages-browser)/../node_modules/next/dist/client/dev/hot-reloader/app/hot-reloader-app.js:196
[   26256ms] [WARNING] The resource http://localhost:3000/_next/static/css/app/layout.css?v=1787397453334 was preloaded using link preload but not used within a few seconds from the window's load event. Please make sure it has an appropriate `as` value and it is preloaded intentionally. @ http://localhost:3000/ashish-interiors:0
[   27750ms] [LOG] [Fast Refresh] rebuilding @ webpack-internal:///(app-pages-browser)/../node_modules/next/dist/client/dev/hot-reloader/app/hot-reloader-app.js:196
[   27911ms] [LOG] [Fast Refresh] done in 160ms @ webpack-internal:///(app-pages-browser)/../node_modules/next/dist/client/dev/report-hmr-latency.js:13
[   29391ms] [LOG] [Fast Refresh] done in 1640ms @ webpack-internal:///(app-pages-browser)/../node_modules/next/dist/client/dev/report-hmr-latency.js:13
[   36271ms] [WARNING] The resource http://localhost:3000/_next/static/css/app/layout.css?v=1787397453334 was preloaded using link preload but not used within a few seconds from the window's load event. Please make sure it has an appropriate `as` value and it is preloaded intentionally. @ http://localhost:3000/ashish-interiors:0
[   46266ms] [WARNING] The resource http://localhost:3000/_next/static/css/app/layout.css?v=1787397453334 was preloaded using link preload but not used within a few seconds from the window's load event. Please make sure it has an appropriate `as` value and it is preloaded intentionally. @ http://localhost:3000/ashish-interiors:0
[   51250ms] [WARNING] The resource http://localhost:3000/_next/static/css/app/layout.css?v=1787397453334 was preloaded using link preload but not used within a few seconds from the window's load event. Please make sure it has an appropriate `as` value and it is preloaded intentionally. @ http://localhost:3000/ashish-interiors:0
[   56257ms] [WARNING] The resource http://localhost:3000/_next/static/css/app/layout.css?v=1787397453334 was preloaded using link preload but not used within a few seconds from the window's load event. Please make sure it has an appropriate `as` value and it is preloaded intentionally. @ http://localhost:3000/ashish-interiors:0
[   66270ms] [WARNING] The resource http://localhost:3000/_next/static/css/app/layout.css?v=1787397453334 was preloaded using link preload but not used within a few seconds from the window's load event. Please make sure it has an appropriate `as` value and it is preloaded intentionally. @ http://localhost:3000/ashish-interiors:0
[   76257ms] [WARNING] The resource http://localhost:3000/_next/static/css/app/layout.css?v=1787397453334 was preloaded using link preload but not used within a few seconds from the window's load event. Please make sure it has an appropriate `as` value and it is preloaded intentionally. @ http://localhost:3000/ashish-interiors:0
